Date,lat,lon
2025-07-21 17:12:06,51.43859,-3.17363
2025-07-21 17:12:06,51.43856,-3.17366
2025-07-21 17:12:06,51.43844,-3.17372
2025-07-21 17:12:06,51.43835,-3.17374
2025-07-21 17:12:06,51.43821,-3.17372
2025-07-21 17:12:06,51.43816,-3.17372
2025-07-21 17:12:06,51.43789,-3.17364
2025-07-21 17:12:06,51.43775,-3.17353
2025-07-21 17:12:06,51.43765,-3.17348
2025-07-21 17:12:06,51.43732,-3.17344
2025-07-21 17:12:06,51.43693,-3.17359
2025-07-21 17:12:06,51.43679,-3.17366
2025-07-21 17:12:06,51.43643,-3.1739
2025-07-21 17:12:06,51.43642,-3.17393
2025-07-21 17:12:06,51.43644,-3.1742
2025-07-21 17:12:06,51.43635,-3.17441
2025-07-21 17:12:06,51.43625,-3.17479
2025-07-21 17:12:06,51.43615,-3.17537
2025-07-21 17:12:06,51.43604,-3.17546
2025-07-21 17:12:06,51.4358,-3.17557
2025-07-21 17:12:06,51.43575,-3.17556
2025-07-21 17:12:06,51.43569,-3.17559
2025-07-21 17:12:06,51.43553,-3.17583
2025-07-21 17:12:06,51.43541,-3.17605
2025-07-21 17:12:06,51.43535,-3.1762
2025-07-21 17:12:06,51.43535,-3.17626
2025-07-21 17:12:06,51.43531,-3.17638
2025-07-21 17:12:06,51.43516,-3.17668
2025-07-21 17:12:06,51.43486,-3.17744
2025-07-21 17:12:06,51.43445,-3.17819
2025-07-21 17:12:06,51.4342,-3.17857
2025-07-21 17:12:06,51.43386,-3.17902
2025-07-21 17:12:06,51.43377,-3.17918
2025-07-21 17:12:06,51.43365,-3.17931
2025-07-21 17:12:06,51.43341,-3.17962
2025-07-21 17:12:06,51.43325,-3.17979
2025-07-21 17:12:06,51.43314,-3.17987
2025-07-21 17:12:06,51.43305,-3.18
2025-07-21 17:12:06,51.4328,-3.18021
2025-07-21 17:12:06,51.43261,-3.1804
2025-07-21 17:12:06,51.43239,-3.18066
2025-07-21 17:12:06,51.43234,-3.1807
2025-07-21 17:12:06,51.43229,-3.18071
2025-07-21 17:12:06,51.43223,-3.18068
2025-07-21 17:12:06,51.43214,-3.18058
2025-07-21 17:12:06,51.43207,-3.18047
2025-07-21 17:12:06,51.43194,-3.1801
2025-07-21 17:12:06,51.43181,-3.17958
2025-07-21 17:12:06,51.43179,-3.17953
2025-07-21 17:12:06,51.43173,-3.1795
2025-07-21 17:12:06,51.43167,-3.17952
2025-07-21 17:12:06,51.4315,-3.17963
2025-07-21 17:12:06,51.43136,-3.17963
2025-07-21 17:12:06,51.43121,-3.17969
2025-07-21 17:12:06,51.43076,-3.18004
2025-07-21 17:12:06,51.43058,-3.18026
2025-07-21 17:12:06,51.43051,-3.1803
2025-07-21 17:12:06,51.43046,-3.18028
2025-07-21 17:12:06,51.43044,-3.18025
2025-07-21 17:12:06,51.43031,-3.18002
2025-07-21 17:12:06,51.43014,-3.17967
2025-07-21 17:12:06,51.43002,-3.17933
2025-07-21 17:12:06,51.42997,-3.17928
2025-07-21 17:12:06,51.42993,-3.17929
2025-07-21 17:12:06,51.42984,-3.17934
2025-07-21 17:12:06,51.42967,-3.1795
2025-07-21 17:12:06,51.42913,-3.17989
2025-07-21 17:12:06,51.42903,-3.17986
2025-07-21 17:12:06,51.42896,-3.17979
2025-07-21 17:12:06,51.42893,-3.17978
2025-07-21 17:12:06,51.42886,-3.17981
2025-07-21 17:12:06,51.42878,-3.17992
2025-07-21 17:12:06,51.42871,-3.18009
2025-07-21 17:12:06,51.42864,-3.18013
2025-07-21 17:12:06,51.4286,-3.18019
2025-07-21 17:12:06,51.42826,-3.18107
2025-07-21 17:12:06,51.42804,-3.18158
2025-07-21 17:12:06,51.42774,-3.18236
2025-07-21 17:12:06,51.42764,-3.18273
2025-07-21 17:12:06,51.42751,-3.18304
2025-07-21 17:12:06,51.42747,-3.18325
2025-07-21 17:12:06,51.42747,-3.18336
2025-07-21 17:12:06,51.42755,-3.18349
2025-07-21 17:12:06,51.42777,-3.18366
2025-07-21 17:12:06,51.42808,-3.18398
2025-07-21 17:12:06,51.42841,-3.18423
2025-07-21 17:12:06,51.42853,-3.18434
2025-07-21 17:12:06,51.42858,-3.18436
2025-07-21 17:12:06,51.42858,-3.18438
