"lat","lon","date"
51.4385871887207,-3.17362999916077,"21-07-2025"
51.4385604858398,-3.17365980148315,"21-07-2025"
51.4384384155273,-3.17371988296509,"21-07-2025"
51.438346862793,-3.17373991012573,"21-07-2025"
51.4382095336914,-3.17371988296509,"21-07-2025"
51.438159942627,-3.17371988296509,"21-07-2025"
51.4378890991211,-3.17364001274109,"21-07-2025"
51.4377479553223,-3.17352986335754,"21-07-2025"
51.4376487731934,-3.17348003387451,"21-07-2025"
51.4373168945312,-3.17343997955322,"21-07-2025"
51.4369277954102,-3.17358994483948,"21-07-2025"
51.4367904663086,-3.17365980148315,"21-07-2025"
51.4364280700684,-3.17389988899231,"21-07-2025"
51.4364204406738,-3.17392992973328,"21-07-2025"
51.4364395141602,-3.17419981956482,"21-07-2025"
51.4363479614258,-3.17440986633301,"21-07-2025"
51.4362487792969,-3.1747899055481,"21-07-2025"
51.436149597168,-3.17536997795105,"21-07-2025"
51.4360389709473,-3.17545986175537,"21-07-2025"
51.4357986450195,-3.17557001113892,"21-07-2025"
51.4357490539551,-3.17555999755859,"21-07-2025"
51.4356880187988,-3.17559003829956,"21-07-2025"
51.4355278015137,-3.17582988739014,"21-07-2025"
51.4354095458984,-3.17604994773865,"21-07-2025"
51.4353485107422,-3.1761999130249,"21-07-2025"
51.4353485107422,-3.17625999450684,"21-07-2025"
51.4353103637695,-3.17637991905212,"21-07-2025"
51.4351577758789,-3.17667984962463,"21-07-2025"
51.4348602294922,-3.17743992805481,"21-07-2025"
51.4344482421875,-3.17818999290466,"21-07-2025"
51.4342002868652,-3.17857003211975,"21-07-2025"
51.4338569641113,-3.17901992797852,"21-07-2025"
51.4337692260742,-3.17917990684509,"21-07-2025"
51.4336471557617,-3.1793098449707,"21-07-2025"
51.433406829834,-3.17962002754211,"21-07-2025"
51.4332504272461,-3.17979001998901,"21-07-2025"
51.4331398010254,-3.17986989021301,"21-07-2025"
51.433048248291,-3.17999982833862,"21-07-2025"
51.4328002929688,-3.18020987510681,"21-07-2025"
51.4326095581055,-3.18039989471436,"21-07-2025"
51.4323883056641,-3.18066000938416,"21-07-2025"
51.4323387145996,-3.18069982528687,"21-07-2025"
51.4322891235352,-3.18070983886719,"21-07-2025"
51.4322280883789,-3.1806800365448,"21-07-2025"
