"Year","Week","TotalDistance"
2017,29,0
2017,30,0
2017,31,0
2017,32,0
2017,33,0
2017,34,0
2017,35,0
2017,36,0
2017,37,0
2017,38,1.2787
2017,39,0
2017,40,0
2017,41,0
2017,42,3.3715
2017,43,0
2017,44,5.0336
2017,45,11.8232
2017,46,3.5329
2017,47,3.3205
2017,48,3.329
2017,49,0
2017,50,0
2017,51,0
2017,52,0
2017,53,0
2018,1,2.5537
2018,2,2.8358
2018,3,4.0402
2018,4,4.0285
2018,5,0
2018,6,0
2018,7,0
2018,8,0
2018,9,0
2018,10,0
2018,11,2.9444
2018,12,3.0325
2018,13,4.026
2018,14,3.5117
2018,15,0
2018,16,0
2018,17,0
2018,18,0
2018,19,0
2018,20,0
2018,21,1.7382
2018,22,0
2018,23,7.9059
2018,24,5.7145
2018,25,0
2018,26,2.3646
2018,27,4.7598
2018,28,3.5532
2018,29,0
2018,30,0
2018,31,0
2018,32,0
2018,33,0
2018,34,0
2018,35,2.5386
2018,36,0
2018,37,0
2018,38,0
2018,39,0
2018,40,0
2018,41,0
2018,42,0
2018,43,0
2018,44,0
2018,45,0
2018,46,0
2018,47,0
2018,48,0.7972
2018,49,0
2018,50,0
2018,51,0
2018,52,0
2018,53,0
2019,1,1.2795
2019,2,0
2019,3,0
2019,4,0
2019,5,0
2019,6,0
2019,7,0
2019,8,0
2019,9,0
2019,10,0
2019,11,0
2019,12,0
2019,13,0
2019,14,0
2019,15,0
2019,16,5.1391
2019,17,6.6956
2019,18,5.1806
2019,19,4.4115
2019,20,5.6662
2019,21,4.9625
2019,22,8.9943
2019,23,4.9463
2019,24,15.0332
2019,25,13.7588
2019,26,16.6107
2019,27,11.4658
2019,28,4.871
2019,29,10.0256
2019,30,19.649
2019,31,23.6406
2019,32,27.494
2019,33,22.8281
2019,34,28.1414
2019,35,4.9549
2019,36,10.5554
2019,37,43.996
2019,38,34.3044
2019,39,27.5991
2019,40,33.0052
2019,41,3.8089
2019,42,0
2019,43,0
2019,44,2.6845
2019,45,5.0158
2019,46,10.4767
2019,47,0
